Information,Source
"이마트 분당점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
  10만원 이상 5시간  [유의사항] 1. 이마트 계산대에서 발행된 당일 영수증만 사용가능 합니다.  2. 그 외 영수증은 구매하신 매장에서 주차할인을 적용 받으시길 바랍니다. 3. 사전 정산시 구매하신 영수증을 모두 적용해 주세요.    사전 정산후 30분 이내 출차하셔야 됩니다. [사전 무인 정산기 위치 안내]  4층 죄측 EV 앞 1대 / 우측 EV 앞 1대  5층 죄측 EV 앞 1대 / 우측 EV 앞 1대  6층 죄측 EV 앞 1대 / 우측 EV 앞 1대  7층 죄측 EV 앞 1대 / 우측 EV 앞 1대  8층 죄측 EV 앞 1대 / 우측 EV 앞 1대  야외 주차장 카트 보관장소 앞 2대 매장 전체 주차가능대수: 779대<sep>이마트 분당점",이마트 분당점
"이마트 분당점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
- 마을버스 : 110, 109, 111
- 일반버스 : 33-1, 51, 101, 370, 720-2
- 직행버스 : 9607, 9000, 9407, 9000-1(출근용)
- 광역버스 : 9401, 9403, 9404, 9408 


[자가용 이용시]

※ 성남 방향에서 승용차 이용시
   성남대로 → 분당구청 → 수내동/중앙공원 방면 좌회전 → 정자2동/수내2동 방면으로 우회전
   → 지하차도 → U 턴후 이마트 분당점 도착.

※ 용인 방향에서 승용차 이용시
   분당선 미금역 직진 → 분당더샵파크리버아파트 방면 직진→ 불정사거리 우회전
   → 이마트 분당점 도착.<sep>이마트 분당점",이마트 분당점
"이마트 청주점의 우편번호는 다음과 같습니다. 
361202<sep>이마트 청주점",이마트 청주점
"이마트 청주점의 주소는 다음과 같습니다. 
충북 청주시 서원구 청남로 1853<sep>이마트 청주점",이마트 청주점
"이마트 청주점의 전화번호는 다음과 같습니다. 
043-210-1234<sep>이마트 청주점",이마트 청주점
"이마트 청주점의 휴일은 다음과 같습니다/. 
2023-07-12, 2023-07-26, 2023-06-14, 2023-06-28, 2023-01-22<sep>이마트 청주점",이마트 청주점
"이마트 청주점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
무료주차
 전체 매장 주차가능 수: 510대<sep>이마트 청주점",이마트 청주점
"이마트 청주점의 오시는 길은 다음과 같습니다. 
[버스 이용안내]
-시내버스 : 822-1번, 822-2번, 832번, 411번, 412번, 413번, 414번
415번, 416번, 417번
-좌석버스 : 405번, 407번
※정류장은 [미평]에서 하차 하시면 됩니다.<sep>이마트 청주점",이마트 청주점
"이마트 전주점의 우편번호는 다음과 같습니다. 
560170<sep>이마트 전주점",이마트 전주점
"이마트 전주점의 주소는 다음과 같습니다. 
전북 전주시 완산구 당산로 111<sep>이마트 전주점",이마트 전주점
"이마트 전주점의 전화번호는 다음과 같습니다. 
063-259-1234<sep>이마트 전주점",이마트 전주점
"이마트 전주점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 전주점",이마트 전주점
"이마트 전주점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
- 부분유료주차장

- 이마트 전주점 內 부분유료주차
(기본 30분무료)

- 이마트 전주점 야외주차장 주차 시 차량고도 2M이상 차량만 가능 (점포내부주차장높이 2.5M제한)
 전체 매장 주차가능 수: 867대<sep>이마트 전주점",이마트 전주점
"이마트 전주점의 오시는 길은 다음과 같습니다. 
[버스 이용시]

*이마트 전주점 오시는 길(By Bus)

※ 이마트전주점 앞 하차
- 전주대학교 → 전주대학교 차량 (3-2번)
- 동부시장 → 전주대학교 차량 (3-2)
- 기린봉 → 평화동종점 차량 (100번)
- 평화동종점 → 전북대학교 농협앞 차량 (101번)
- 전주시양묘장 → 송천동종점 차량 (102번)
- 송천동종점 → 평화동종점 차량 (104번)
- 평화동종점 → 우석대학교종점 차량 (309번)

※ 이마트전주점 맞은편
- 전주대학교 → 전주대학교 차량 (3-1번)
- 전주대학교 → 전동성당/한옥마을 차량 (3-1번)
- 평화동종점 → 기린봉 차량 (100번)
- 대성동종점 → 평화동종점 차량 (101번)
- 전북대학교 덕진성당앞 → 평화동종점 차량 (101번)
- 송천동종점 → 전주시양묘장 차량 (102번)
- 송천동종점 → 재전 차량 (102번)
- 평화동종점 → 송천동종점 차량 (104번)
- 우석대학교 → 평화동종점 차량 (309번)
- 여의동종점 → 평화동종점 차량 (309번)<sep>이마트 전주점",이마트 전주점
"이마트 이천점의 우편번호는 다음과 같습니다. 
467110<sep>이마트 이천점",이마트 이천점
"이마트 이천점의 주소는 다음과 같습니다. 
경기 이천시 이섭대천로 1440-50<sep>이마트 이천점",이마트 이천점
"이마트 이천점의 전화번호는 다음과 같습니다. 
031-644-8123<sep>이마트 이천점",이마트 이천점
"이마트 이천점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 이천점",이마트 이천점
"이마트 이천점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
■ 유료 주차장 / 운영 시간 : 10:00~22:00 
   (야외 1층 주차장 24시간 운영) 
 - 30분 회차 무료 / 기본 10분 1,000원
   (30분 초과시 회차시간 포함 요금 징수)
 - 1만원 이상 1시간 / 3만원 이상 2시간 / 5만원 이상 3시간 무료 
   (최대 3시간 무료 초과시 요금 징수 / 영수증 중복 적용 불가)
※기타 매장은 해당 코너에서 주차 할인 적용
   ( 문화센터, 미용실, 열쇠, 세탁실, 안경,푸드코트, 고객만족센터 업무 등 ) 
※쇼핑 후 사전 정산기에서 주차요금 정산 후 30분 이내 출차
※기타 문의 사항 발생시 고객 만족센터 문의 요망!!
 전체 매장 주차가능 수: 407대<sep>이마트 이천점",이마트 이천점
"이마트 이천점의 오시는 길은 다음과 같습니다. 
[자가용 이용시]
수원/용인/경기광주 방면 
서이천 삼거리(이천신둔 방면)로 좌회전 →사음동삼거리(신학대학원 방면)로 좌회전 → 신둔교차로 부발 방면으로 우측방면 → 증포교차로(이천시청 증포동 방면)로 우측방향 → emart사거리 좌회전 
여주/원주 방면 
신진사거리(원주,여주 방면)으로 우측방향 → 안흥2동삼거리(금사,증포동,보건소 방면)으로 좌회전 →증포사거리(양평.금사 방면)으로 우측방향 →emart사거리 우회전 
장호원방면 
진암사거리(서울,이천 방면)으로 좌회전 →가산삼거리(여주,부발,종합운동장 방면)으로 우측방향 →곤지암 백사 방면으로 고가도로 →증포교차로(이천,증포동방면)으로 죄회전 →emart사거리 좌회전

[버스 이용시]
29번,21-11번<sep>이마트 이천점",이마트 이천점
"이마트 진주점의 우편번호는 다음과 같습니다. 
660020<sep>이마트 진주점",이마트 진주점
"이마트 진주점의 주소는 다음과 같습니다. 
경남 진주시 진양호로 477<sep>이마트 진주점",이마트 진주점
"이마트 진주점의 전화번호는 다음과 같습니다. 
055-749-1234<sep>이마트 진주점",이마트 진주점
"이마트 진주점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 진주점",이마트 진주점
"이마트 진주점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
무료주차
 전체 매장 주차가능 수: 454대<sep>이마트 진주점",이마트 진주점
"이마트 진주점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
120~126, 210, 253, 260,261, 270~272, 280~282, 290, 292~295, 340~344, 353, 373~377, 420, 730, 731번 (이마트 정류장(정류장 번호 25006번 하차) 
진주성 바로 옆(보건 민원센타 옆)에 있습니다.<sep>이마트 진주점",이마트 진주점
"이마트 구미점의 우편번호는 다음과 같습니다. 
730080<sep>이마트 구미점",이마트 구미점
"이마트 구미점의 주소는 다음과 같습니다. 
경상북도 구미시 구미대로 256<sep>이마트 구미점",이마트 구미점
"이마트 구미점의 전화번호는 다음과 같습니다. 
054-467-1234<sep>이마트 구미점",이마트 구미점
"이마트 구미점의 휴일은 다음과 같습니다/. 
2023-07-12, 2023-07-26, 2023-06-14, 2023-06-28, 2023-01-22<sep>이마트 구미점",이마트 구미점
"이마트 구미점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
무료주차
 전체 매장 주차가능 수: 936대<sep>이마트 구미점",이마트 구미점
"이마트 구미점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
[자가용 이용시]

[버스 이용시] 
(광평노인회관 방면) 
22, 23, 161, 410, 410-1, 410-2, 410-3, 410-4, 410-5, 410-6, 410-7, 461
(이마트 정문)
22, 23, 160, 161, 188, 411, 411-1, 411-2, 411-3, 411-4, 411-5, 411-6, 411-8, 411-9, 460
(이마트 건너)
11, 160, 160-1, 188

[자가용 이용시]
 - 구미IC경유 : 경부고속도로 구미IC 통과 후 수출탑로타리 왜관 박대통령생가 방면으로 우측방향 유턴 후 우회전
 - 구미역에서 출발시 : 각선네거리에서 좌회전 후 금오산네거리에서 산업단지 구미IC방면으로 우회전 후 한국폴리텍대학 구미캠퍼스 왜관방면으로 우측방향 후 수출탑로타리 왜관 박대통령생가방면으로 우측방향 유턴 후 우회전<sep>이마트 구미점",이마트 구미점
"이마트 창원점의 우편번호는 다음과 같습니다. 
641845<sep>이마트 창원점",이마트 창원점
"이마트 창원점의 주소는 다음과 같습니다. 
경상남도 창원시 성산구 원이대로 608<sep>이마트 창원점",이마트 창원점
"이마트 창원점의 전화번호는 다음과 같습니다. 
055-211-1234<sep>이마트 창원점",이마트 창원점
"이마트 창원점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 창원점",이마트 창원점
"이마트 창원점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 유료주차※ 18년 8/1(목)일부터 유료주차 운영 변경진행 중■ 주차요금  -. 무료회차 시간 30분 이내 (※ 30분 초과시 회차시간 포함 요금 징수됩니다.) -. 기본요금 10분당 1,000원  ＊구매금액 1만원 이상 2시간 무료  ＊구매금액 3만원 이상 3시간 무료  ＊구매금액 5만원 이상 4시간 무료   * 구매금액 10만원 이상 5시간 무료   ＊일일 최대 요금 20,000원 -. 주차장 운영시간 10:00~23:00<sep>이마트 창원점",이마트 창원점
"이마트 창원점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
 -. 주요 임대매장 무료주차 시간(최대)  ＊약국/푸드코트 :1시간  ＊이디야(커피) : 2시간  ＊병원, 네일 : 3시간  ＊경정비, 미용실 등 : 6시간※ 이마트 구매 금액별 무료주차 시간과 합산 가능합니다.※ 이마트 영수증이 발행되지 않는 임대매장은 반드시 해당 매장에서 무료주차 시간을 적용 받으세요. -. [교환/환불/AS] 고객의 경우 &#39;3층 고객만족센터&#39;에서 해당시간 내 무료주차 등록가능■ 유의사항 1. 신용카드 전용 사전무인정산 유료주차장으로 운영되오니    반드시 구매영수증으로 사전무인정산기에서 정산 후 빠르게 출차하시기 바랍니다. 2. 사전무인 정산기는 각층 주차장에 있습니다. 3. 영수증 또는 주차정산표 분실 시 3층 고객만족센터로 방문해 주시기 바랍니다. 매장 전체 주차가능대수: 815대<sep>이마트 창원점",이마트 창원점
"이마트 창원점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
 105, 151, 155, 170, 102, 103, 757, 113번

[자가용 이용시]
부산방면에서 승용차 이용시 ☞ 마산방면으로 직진 후 창원병원 사거리에서 우회전하여 2km직진.
마산방면에서 승용차 이용시 ☞ 창원대로에서 창원터널 방향으로 직진 후 창원병원 사거리에서 
좌회전하여 2km직진.<sep>이마트 창원점",이마트 창원점
"이마트 평촌점의 우편번호는 다음과 같습니다. 
431060<sep>이마트 평촌점",이마트 평촌점
"이마트 평촌점의 주소는 다음과 같습니다. 
경기도 안양시 동안구 시민대로 300<sep>이마트 평촌점",이마트 평촌점
"이마트 평촌점의 전화번호는 다음과 같습니다. 
031-687-1234<sep>이마트 평촌점",이마트 평촌점
"이마트 평촌점의 휴일은 다음과 같습니다/. 
2023-07-12, 2023-07-26, 2023-06-14, 2023-06-28, 2023-01-22<sep>이마트 평촌점",이마트 평촌점
"이마트 평촌점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
[주차장 이용시간]

- 회차 30분 이후 10분당 1천원
- 1만원이상 구매시: 2시간 무료
- 3만원이상 구매시: 3시간 무료
- 5만원이상 구매시: 4시간 무료
- 10만원이상 구매시: 5시간 무료
- 당일최대요금 5만원
※ 이마트 구매 영수증으로 무인 사전정산 후 출차하세요!
※ 이마트앱에 차량번호 등록 후 사전정산 하세요!
※ 임대매장은 각 코너별로 주차할인 적용 받으세요!
※ 전기차 충전소 운영 현황:4층 →4대 5층 →2대 운영 중입니다.
 전체 매장 주차가능 수: 640대<sep>이마트 평촌점",이마트 평촌점
"이마트 평촌점의 오시는 길은 다음과 같습니다. 
[지하철 이용시]
- 지하철: 4호선 평촌역 2번 출구

[버스 이용시]
- 일반버스: 52, 22, 6, 1
- 마을버스: 10-1, 5-1, 5, 6, 7<sep>이마트 평촌점",이마트 평촌점
"이마트 강릉점의 우편번호는 다음과 같습니다. 
210140<sep>이마트 강릉점",이마트 강릉점
"이마트 강릉점의 주소는 다음과 같습니다. 
강원도 강릉시 경강로 2398-10<sep>이마트 강릉점",이마트 강릉점
"이마트 강릉점의 전화번호는 다음과 같습니다. 
033-649-1234<sep>이마트 강릉점",이마트 강릉점
"이마트 강릉점의 휴일은 다음과 같습니다/. 
2023-07-12, 2023-07-26, 2023-06-14, 2023-06-28, 2023-01-25<sep>이마트 강릉점",이마트 강릉점
"이마트 강릉점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
무료주차
1층 야외주차장 전기차 충전소(실내 주차장 내 전기차 충전소 없음)
 전체 매장 주차가능 수: 713대<sep>이마트 강릉점",이마트 강릉점
"이마트 강릉점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
 시내버스 : 101, 102, 103, 206, 207, 221, 303-1, 306, 308, 308-1  509, 508, 505, 503, 501, 502번

[승용차 이용시]
   신영극장 → 용지각(강릉여고) → 동해상사(공단사거리) → 이마트 → 안목종점<sep>이마트 강릉점",이마트 강릉점
"이마트 수지점의 우편번호는 다음과 같습니다. 
448150<sep>이마트 수지점",이마트 수지점
"이마트 수지점의 주소는 다음과 같습니다. 
경기도 용인시 수지구 수지로 203<sep>이마트 수지점",이마트 수지점
"이마트 수지점의 전화번호는 다음과 같습니다. 
031-270-1234<sep>이마트 수지점",이마트 수지점
"이마트 수지점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 수지점",이마트 수지점
"이마트 수지점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
■ 유료주차 (케이엠파크)

- 주차요금
무료회차 시간- 30분이내/ 기본요금 10분당 1,000원

- 구매 금액별 무료 주차 시간!
:1만원이상 2시간/3만원이상 3시간/ 5만원이상 4시간/ 10만원이상 5시간

- 주요 임대매장 무료 주차시간
:약국,열쇠등 1시간/ 카페,식음 2시간/ 병원,네일 3시간/ 경정비,미용실등 6시간
 전체 매장 주차가능 수: 711대<sep>이마트 수지점",이마트 수지점
"이마트 수지점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
마을버스: 1,1-1,2-1,15,15-2, 15-5,16,82,88A,88B 
초록(지선버스): 60, 700-2, 720-1, 720-2 
빨강(좌석버스): 1550, 5500-2 

[자가용 이용시]
죽전역 방향에서 승용차 이용시
죽전역 →  수지구청 방면 → 풍덕고교 사거리에서 풍덕천2동 주민센터 방면으로 
우회전 → 풍덕천 2동 주민센터 사거리에서 신봉동 주민센터 방면으로 좌회전
수원 방향에서 승용차 이용시
43번 국도(죽전,경기광주)방면  → 상현5차 현대 아파트 앞 사거리 → 신봉동 주민센터 방면으로 좌회전  → 신봉동 주민센터|용인시여성회관 방면으로 우회전<sep>이마트 수지점",이마트 수지점
"이마트 신제주점의 우편번호는 다음과 같습니다. 
690180<sep>이마트 신제주점",이마트 신제주점
"이마트 신제주점의 주소는 다음과 같습니다. 
제주특별자치도 제주시 1100로 3348<sep>이마트 신제주점",이마트 신제주점
"이마트 신제주점의 전화번호는 다음과 같습니다. 
064-798-1234<sep>이마트 신제주점",이마트 신제주점
"이마트 신제주점의 휴일은 다음과 같습니다/. 
2023-06-09, 2023-06-24, 2023-07-14, 2023-07-22, 2023-01-22<sep>이마트 신제주점",이마트 신제주점
"이마트 신제주점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
○ 최초 30분 무료주차
▶ 이후 10분당  1,000원 (일 최대 50,000원) 

▶ 1만원 이상 : 1시간 무료
▶ 3만원 이상 : 2시간 무료
▶ 5만원 이상 : 3시간 무료

○ i PARKING 고객센터 : 1588-5783
 전체 매장 주차가능 수: 295대<sep>이마트 신제주점",이마트 신제주점
"이마트 신제주점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
311신사동(기점) ↔한라수목원
312신사동(기점) ↔한라수목원
325신사동(기점) ↔한라수목원
360 제주고등학교 ↔ 제주국제대학교
367 제주한라대학교 ↔ 월평마을
415 한라수목원 ↔ 국제여객선터미널
465 제주도립미술관 ↔ 제주도립미술관
466 축산마을 ↔ 축산진흥원입구<sep>이마트 신제주점",이마트 신제주점
"이마트 천안점의 우편번호는 다음과 같습니다. 
331090<sep>이마트 천안점",이마트 천안점
"이마트 천안점의 주소는 다음과 같습니다. 
충남 천안시 서북구 충무로 187<sep>이마트 천안점",이마트 천안점
"이마트 천안점의 전화번호는 다음과 같습니다. 
041-620-1234<sep>이마트 천안점",이마트 천안점
"이마트 천안점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 천안점",이마트 천안점
"이마트 천안점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
■ 구매 금액대별 무료주차 시간
- 1만원이상 : 2시간, 3만원이상 : 3시간, 5만원이상 : 4시간, 10만원이상 : 5시간

■ 일반요금
- 무료회차 시간 : 30분이내(30분이후 요금부과), 기본요금 : 10분당 1,000원
 전체 매장 주차가능 수: 680대<sep>이마트 천안점",이마트 천안점
"이마트 천안점의 오시는 길은 다음과 같습니다. 
[버스 이용시] 
1, 2, 21, 22, 23, 60, 95, 86, 614, 900, 901, 910, 911, 9,  20, 921, 930, 931번 이마트 정차

[지하철 이용시]
쌍용역 1번 출구→계룡푸른마을APT→이화여성병원→방아다리사거리<sep>이마트 천안점",이마트 천안점
"이마트 수원점의 우편번호는 다음과 같습니다. 
16585<sep>이마트 수원점",이마트 수원점
"이마트 수원점의 주소는 다음과 같습니다. 
경기 수원시 권선구 경수대로 270 (권선동, 주차빌딩)<sep>이마트 수원점",이마트 수원점
"이마트 수원점의 전화번호는 다음과 같습니다. 
031-303-3410<sep>이마트 수원점",이마트 수원점
"이마트 수원점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 수원점",이마트 수원점
"이마트 수원점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 유료주차 이용안내(사전/무인정산기)[일반요금]1. 30분 회차 - 무료 ※30분 초과 시 회차시간 포함 요금징수2. 기본 10분 - 1,000원3. 운영시간 - 10:00 ~ 폐점시(야외만 24시간)[고객할인]1. 1만원이상 - 2시간2. 3만원 이상 - 3시간3. 5만원 이상 - 4시간4. 10만원이상 - 5시간<sep>이마트 수원점",이마트 수원점
"이마트 수원점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
※최대 5시간을 초과 할 수 없습니다.(영수증 중복적용 가능)[유의사항]1. 이마트 계산대에서 발행된 당일 영수증만 사용가능 합니다.2. 그 외 영수증은 구매하신 매장에서 주차할인을 적용 받으시길 바랍니다.*사전 정산 시 구매하신 영수증을 모두 적용해 주세요!*사전 정산 후 30분 이내 출차하셔야 됩니다.[사전 무인정산기 위치]1층: 매장입구 2대, 주차장 계단 앞2층: 주차장 연결통로 3대3층: 무빙워크 상행 앞, E/L앞 매장 전체 주차가능대수: 822대<sep>이마트 수원점",이마트 수원점
"이마트 수원점의 오시는 길은 다음과 같습니다. 
[버스 이용시]
BUS 정류장명 : 버스터미널(수원시 권선구 덕영대로)
BUS 정류장번호 : 02-224 번
마을버스노선 : 5, 5-1, 6-1, 7, 7-1, 7-2,64, 64-1, 82-1, 88, 112, 303, 310
광역버스노선 : 900

마을버스 노선 안내
5번 : 이목동-영통회차장/15분간격
5-1번 : 이목동-동탄/20분
6-1번 : 수원시외버스터미널-오산/50분
7번 : 미금역-영통회차장/14분
7-1번 : 보훈원-동탄신도시/14분
7-2번 : 미금역-영통회차장/14분
13-5번 : 당수동만정A-동탄신도시/25분
64번 : 안양역-동탄신도시/17분
64-1번 : 서수원터미널-곡반정동/38분
82-1번 : 곡반정동-곡반정동/9분
88번 : 오목천동차고-조원동/15분
112번 : 율전동-곡반정동/20분
303번 : 수원역-동탄신도시/50분
310번 : 이목(효행공원)-영통회차장/20분

광역버스 노선안내
900번 : 영통회차장-보라매공원/6분
5번 : 이목동-영통회차장/15분간격
5-1번 : 이목동-동탄/20분
6-1번 : 수원시외버스터미널-오산/50분
7번 : 미금역-영통회차장/14분
7-1번 : 보훈원-동탄신도시/14분
7-2번 : 미금역-영통회차장/14분
13-5번 : 당수동만정A-동탄신도시/25분
64번 : 안양역-동탄신도시/17분
64-1번 : 서수원터미널-곡반정동/38분
82-1번 : 곡반정동-곡반정동/9분
88번 : 오목천동차고-조원동/15분
112번 : 율전동-곡반정동/20분
303번 : 수원역-동탄신도시/50분
310번 : 이목(효행공원)-영통회차장/20분

광역버스 노선안내
900번 : 영통회차장-보라매공원/6분

[지하철 이용시]
지하철 1호선 / 세류역 하차 후 10~15분 도보<sep>이마트 수원점",이마트 수원점
"이마트 평택점의 우편번호는 다음과 같습니다. 
450090<sep>이마트 평택점",이마트 평택점
"이마트 평택점의 주소는 다음과 같습니다. 
경기 평택시 영신로 29<sep>이마트 평택점",이마트 평택점
"이마트 평택점의 전화번호는 다음과 같습니다. 
031-371-1234<sep>이마트 평택점",이마트 평택점
"이마트 평택점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 평택점",이마트 평택점
"이마트 평택점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
무료 주차
 전체 매장 주차가능 수: 664대<sep>이마트 평택점",이마트 평택점
"이마트 평택점의 오시는 길은 다음과 같습니다. 
[자가용 이용 시]
자가용 이용 시 : 1번국도변 지제역 맞은편(300M거리) 

[버스 이용 시]
시내버스 이용 시 : 1-1번 
마을버스 이용 시 : 100번, 100-1번 
※버스 이용안내 -[이마트입구]에서 하차

[지하철 이용 시]
평택지제역 하차 - 지제역 사거리 호담, GS칼텍스 주유소쪽 횡단보도 이용 - 전방 400m 이동<sep>이마트 평택점",이마트 평택점
"이마트 은평점의 우편번호는 다음과 같습니다. 
3461<sep>이마트 은평점",이마트 은평점
"이마트 은평점의 주소는 다음과 같습니다. 
서울 은평구 은평로 111 (응암동, 은평이마트)<sep>이마트 은평점",이마트 은평점
"이마트 은평점의 전화번호는 다음과 같습니다. 
02-380-1234<sep>이마트 은평점",이마트 은평점
"이마트 은평점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 은평점",이마트 은평점
"이마트 은평점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
1만원이상 2시간무료,
3만원이상 3시간 무료,
5만원이상 4시간 무료,
10만원이상 5시간 무료,
무료회차시간 30분이내,  30분 초과시 매 10분당 1,000원
※ 일일최대 요금 50,000원 이며, 30분 초과시 회차시간 포함 요금 징수 됩니다.
 전체 매장 주차가능 수: 604대<sep>이마트 은평점",이마트 은평점
"이마트 은평점의 오시는 길은 다음과 같습니다. 
[지하철 이용시]
6호선 [응암역] 3번출구 (역촌역 방향으로 도보 5분거리) 
6호선 [역촌역] 4번출구 (응암역 방향으로 도보 5분거리) 


[버스 이용시]
·마을버스-은평05 
·초록(지선버스)-7212, 7722, 7613, 7025, 7719, 7722, 7730
·파랑(간선버스)-702A, 702B
※서부병원/서부경찰서/서부경찰서 후문/신진과학기술 고등학교 정거장에서 하차.


[승용차 이용시] 
·[서대문/종로] 방면에서 승용차 이용시 
녹번역 방향→은평구청 방면으로 좌측 방향(은평로) 
→응암역 방향→이마트 은평점 

·[마포] 방면에서 승용차 이용시 
증산교 방면으로 우측방향 (1번국도) 
→중암교에서 월드컵경기장 방면으로 좌회전 →신사오거리 역촌역/은평구청 
방면으로 우회전 (은평로) →이마트 은평점<sep>이마트 은평점",이마트 은평점
"이마트 여수점의 우편번호는 다음과 같습니다. 
550210<sep>이마트 여수점",이마트 여수점
